Sample	Depth_m	O2_uM	PO4_uM	NO3_uM	NH4_uM	NO2_uM	H2S_uM	N2O_nM	CH4_nM	Temperature_C	Salinity_PSU
Saanich_010	10	216.667	0.52	1.793	0.408	0.1275	0	0.849	1030.478	12.854	28.121
Saanich_020	20	159.672	1.817	13.736	2.6551	0.4938	0	13.199	29.012	11.005	28.763
Saanich_040	40	141.778	2.244	22.013	1.3007	0.3775	0	12.829	37.146	9.536	29.352
Saanich_060	60	97.894	2.598	28.434	0.2652	0.0471	0	12.306	36.501	8.54	30.115
Saanich_075	75	44.978	3.19	30.604	0.1281	0.0532	0	13.896	24.013	8.48	30.551
Saanich_085	85	25.807	3.745	28.731	0.178	0.0966	0	12.959	7.376	8.538	30.745
Saanich_090	90	27.011	3.934	26.78	0.1307	0.0186	0	15.551	4.19	8.599	30.803
Saanich_097	97	34.436	3.942	26.248	0.1371	0.0297	0	18.682	3.991	8.647	30.838
Saanich_100	100	38.012	3.672	26.4	0.1344	0.0817	0	18.087	3.231	8.703	30.872
Saanich_110	110	27.557	3.965	24.355	0.1046	0.0619	0	15.843	3.633	8.727	30.932
Saanich_120	120	32.354	4.09	21.302	0.1782	0.0978	0	16.304	3.463	8.796	31.007
Saanich_135	135	20.446	4.342	15.917	0.1296	0.0706	0	12.909	4.815	8.882	31.088
Saanich_150	150	0	4.988	5.278	2.1754	0.1127	0	11.815	8.323	9.002	31.164
Saanich_165	165	0	5.599	0	4.7095	0.0805	3.5027	6.31	23.831	9.041	31.197
Saanich_185	185	0	5.974	0	6.4038	0.0211	11.647	0	310.068	9.091	31.231
Saanich_200	200	0	6.298	0	7.3582	0	17.9867	0	774.034	9.117	31.248
